,gender,race,race_o,field,met,match,d_d_age,d_importance_same_race,d_importance_same_religion,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,d_interests_correlate,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,d_like,d_guess_prob_liked
6095,male,european/caucasian-american,european/caucasian-american,law,0.0,0,[0-1],[2-5],[2-5],[21-100],[16-20],[0-15],[0-15],[0-15],[16-20],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[5-18],[6-8],[7-10]
1586,male,european/caucasian-american,latino/hispanic american,electrical engineering,0.0,0,[0-1],[0-1],[0-1],[0-15],[21-100],[16-20],[0-15],[16-20],[0-15],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[3-5],[0-5],[0-4]
7702,female,european/caucasian-american,asian/pacific islander/asian-american,law,0.0,0,[0-1],[2-5],[6-10],[16-20],[0-15],[21-100],[21-100],[0-15],[16-20],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[0-15],[16-20],[0-15],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[3-5],[6-8],[5-6]
6530,female,asian/pacific islander/asian-american,latino/hispanic american,elementary education - preservice,0.0,0,[4-6],[2-5],[6-10],[21-100],[16-20],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[21-100],[0-15],[16-20],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[9-10],[9-10],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-0.33],[5-6],[0-3],[0-2],[6-8],[0-4]
4435,male,latino/hispanic american,asian/pacific islander/asian-american,business [mba],0.0,0,[4-6],[2-5],[6-10],[0-15],[21-100],[16-20],[16-20],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[0-5],[-1-0],[5-6],[0-3],[3-5],[6-8],[5-6]
3844,female,european/caucasian-american,latino/hispanic american,law and english literature [j.d./ph.d.],0.0,0,[7-37],[2-5],[2-5],[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-15],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[9-10],[9-10],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[6-8],[9-10],[6-8],[9-10],[0-5],[0-5],[0.33-1],[0-4],[0-3],[0-2],[0-5],[0-4]
462,female,european/caucasian-american,european/caucasian-american,organizational psychology,0.0,0,[0-1],[2-5],[6-10],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[9-10],[0-0.33],[7-10],[0-3],[5-18],[6-8],[5-6]
6629,female,european/caucasian-american,asian/pacific islander/asian-american,social work,0.0,0,[2-3],[2-5],[6-10],[0-15],[21-100],[21-100],[16-20],[0-15],[0-15],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-15],[0-15],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[6-8],[0.33-1],[5-6],[0-3],[3-5],[6-8],[5-6]
7344,female,european/caucasian-american,asian/pacific islander/asian-american,biochemistry/genetics,0.0,0,[0-1],[6-10],[6-10],[0-15],[0-15],[16-20],[0-15],[0-15],[16-20],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[0-5],[6-8],[9-10],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
4338,male,european/caucasian-american,european/caucasian-american,sociology,0.0,0,[0-1],[2-5],[2-5],[0-15],[0-15],[21-100],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[0-15],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[9-10],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[0-2],[0-5],[0-4]
4310,male,asian/pacific islander/asian-american,european/caucasian-american,international politics,0.0,0,[2-3],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[21-100],[21-100],[0-15],[0-15],[0-15],[0-15],[6-8],[9-10],[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[9-10],[6-8],[0-5],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-0.33],[7-10],[0-3],[5-18],[6-8],[5-6]
744,male,european/caucasian-american,european/caucasian-american,law,0.0,0,[7-37],[6-10],[6-10],[21-100],[16-20],[21-100],[0-15],[0-15],[0-15],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[0-15],[16-20],[0-15],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[0-4]
2779,female,european/caucasian-american,latino/hispanic american,mathematics,0.0,0,[4-6],[6-10],[2-5],[0-15],[0-15],[0-15],[0-15],[21-100],[21-100],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
1754,male,other,european/caucasian-american,law,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-0.33],[5-6],[10-20],[3-5],[6-8],[7-10]
1071,female,asian/pacific islander/asian-american,european/caucasian-american,operations research [seas],0.0,0,[0-1],[6-10],[6-10],[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-15],[16-20],[0-15],[16-20],[16-20],[0-15],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[0-5],[0-5],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[-1-0],[5-6],[0-3],[0-2],[0-5],[5-6]
4526,female,asian/pacific islander/asian-american,european/caucasian-american,social work,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[21-100],[0-15],[0-15],[16-20],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-15],[21-100],[0-15],[16-20],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[9-10],[9-10],[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],[9-10],[0-5],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[9-10],[0-5],[0-5],[0.33-1],[5-6],[0-3],[0-2],[6-8],[7-10]
4843,male,european/caucasian-american,asian/pacific islander/asian-american,business,0.0,0,[2-3],[2-5],[2-5],[0-15],[16-20],[16-20],[0-15],[16-20],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[0-2],[6-8],[5-6]
5989,female,european/caucasian-american,european/caucasian-american,creative writing,0.0,0,[0-1],[0-1],[2-5],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[9-10],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-0.33],[0-4],[0-3],[0-2],[0-5],[5-6]
2705,female,asian/pacific islander/asian-american,latino/hispanic american,international affairs,0.0,0,[7-37],[6-10],[2-5],[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],[0-0.33],[5-6],[0-3],[0-2],[0-5],[0-4]
5534,male,other,asian/pacific islander/asian-american,intrernational affairs,0.0,0,[7-37],[0-1],[0-1],[0-15],[0-15],[21-100],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[9-10],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-0.33],[0-4],[0-3],[3-5],[6-8],[5-6]
5144,female,black/african american,latino/hispanic american,education,0.0,0,[2-3],[0-1],[0-1],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[21-100],[0-15],[0-15],[16-20],[21-100],[0-15],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[0-5],[0.33-1],[5-6],[0-3],[0-2],[6-8],[0-4]
6285,male,latino/hispanic american,black/african american,international affairs,0.0,0,[7-37],[0-1],[0-1],[16-20],[16-20],[16-20],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[0-0.33],[5-6],[0-3],[3-5],[6-8],[0-4]
7541,female,european/caucasian-american,european/caucasian-american,sociology,0.0,0,[2-3],[6-10],[6-10],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[0-5],[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[0.33-1],[7-10],[0-3],[3-5],[6-8],[0-4]
7236,male,european/caucasian-american,european/caucasian-american,film,0.0,0,[4-6],[6-10],[0-1],[0-15],[16-20],[16-20],[0-15],[16-20],[0-15],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
3825,female,european/caucasian-american,european/caucasian-american,english,0.0,0,[0-1],[0-1],[2-5],[21-100],[16-20],[21-100],[0-15],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[0-15],[0-15],[21-100],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[0.33-1],[0-4],[0-3],[0-2],[6-8],[5-6]
3596,female,asian/pacific islander/asian-american,european/caucasian-american,sociology,0.0,0,[0-1],[0-1],[0-1],[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[21-100],[21-100],[0-15],[0-15],[0-15],[16-20],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0.33-1],[7-10],[0-3],[5-18],[6-8],[5-6]
8018,male,european/caucasian-american,asian/pacific islander/asian-american,math,0.0,0,[2-3],[0-1],[0-1],[0-15],[21-100],[16-20],[16-20],[0-15],[16-20],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[0-5],[0.33-1],[7-10],[0-3],[3-5],[0-5],[5-6]
6591,female,european/caucasian-american,asian/pacific islander/asian-american,international affairs,0.0,0,[2-3],[2-5],[2-5],[16-20],[21-100],[0-15],[16-20],[0-15],[0-15],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-0.33],[0-4],[0-3],[0-2],[0-5],[7-10]
1519,male,european/caucasian-american,latino/hispanic american,chemistry,0.0,0,[7-37],[6-10],[6-10],[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[0-15],[21-100],[0-15],[16-20],[0-15],[9-10],[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0.33-1],[7-10],[0-3],[3-5],[6-8],[5-6]
6740,male,asian/pacific islander/asian-american,european/caucasian-american,public policy,0.0,0,[2-3],[0-1],[0-1],[21-100],[0-15],[16-20],[21-100],[16-20],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[0-15],[21-100],[21-100],[16-20],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[9-10],[0-5],[0-5],[0-0.33],[0-4],[0-3],[0-2],[6-8],[0-4]
7813,female,other,european/caucasian-american,social work,0.0,0,[7-37],[2-5],[2-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[21-100],[16-20],[0-15],[0-15],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[-1-0],[0-4],[0-3],[0-2],[0-5],[0-4]
7325,male,other,european/caucasian-american,theater,0.0,0,[4-6],[2-5],[6-10],[16-20],[16-20],[16-20],[16-20],[0-15],[16-20],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[16-20],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[-1-0],[5-6],[0-3],[3-5],[0-5],[7-10]
7285,male,asian/pacific islander/asian-american,asian/pacific islander/asian-american,public administration,0.0,0,[7-37],[0-1],[0-1],[0-15],[16-20],[21-100],[21-100],[0-15],[0-15],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[9-10],[0-5],[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[0-0.33],[7-10],[0-3],[0-2],[0-5],[0-4]
7238,male,european/caucasian-american,other,film,0.0,0,[4-6],[6-10],[0-1],[0-15],[21-100],[0-15],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[9-10],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],[0.33-1],[0-4],[0-3],[3-5],[6-8],[5-6]
4025,male,european/caucasian-american,european/caucasian-american,chemistry,0.0,0,[0-1],[6-10],[2-5],[21-100],[16-20],[16-20],[21-100],[0-15],[0-15],[0-5],[6-8],[9-10],[0-5],[6-8],[0-5],[21-100],[21-100],[16-20],[16-20],[0-15],[0-15],[6-8],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0.33-1],[5-6],[0-3],[0-2],[6-8],[5-6]
7073,female,european/caucasian-american,european/caucasian-american,international affairs,0.0,0,[0-1],[2-5],[2-5],[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[6-8],[0-5],[0-15],[0-15],[16-20],[16-20],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],[9-10],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0.33-1],[5-6],[0-3],[0-2],[0-5],[5-6]
5651,male,asian/pacific islander/asian-american,asian/pacific islander/asian-american,business consulting,0.0,0,[7-37],[6-10],[6-10],[0-15],[21-100],[0-15],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[6-8],[0-5],[6-8],[9-10],[9-10],[9-10],[6-8],[0-5],[0-5],[-1-0],[7-10],[0-3],[0-2],[6-8],[5-6]
576,male,european/caucasian-american,european/caucasian-american,economics,0.0,0,[2-3],[0-1],[0-1],[16-20],[21-100],[16-20],[0-15],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[9-10],[6-8],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[0-0.33],[0-4],[0-3],[0-2],[0-5],[0-4]
6693,male,european/caucasian-american,european/caucasian-american,law,0.0,0,[4-6],[0-1],[0-1],[16-20],[0-15],[21-100],[0-15],[0-15],[0-15],[0-5],[9-10],[9-10],[0-5],[9-10],[0-5],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[6-8],[9-10],[6-8],[6-8],[9-10],[9-10],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0.33-1],[5-6],[0-3],[3-5],[6-8],[0-4]
5517,male,european/caucasian-american,european/caucasian-american,international affairs,0.0,0,[4-6],[6-10],[2-5],[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],[0-5],[6-8],[6-8],[0-5],[0-5],[9-10],[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-0.33],[7-10],[0-3],[3-5],[6-8],[7-10]
5158,female,asian/pacific islander/asian-american,european/caucasian-american,education,0.0,0,[4-6],[2-5],[2-5],[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[0-15],[21-100],[0-15],[0-15],[0-15],[0-15],[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[0.33-1],[5-6],[0-3],[3-5],[0-5],[0-4]
110,male,european/caucasian-american,asian/pacific islander/asian-american,law,0.0,0,[0-1],[0-1],[0-1],[0-15],[16-20],[16-20],[0-15],[0-15],[0-15],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],[9-10],[9-10],[9-10],[9-10],[9-10],[6-8],[6-8],[9-10],[6-8],[6-8],[0-5],[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[9-10],[0-5],[0-5],[0.33-1],[7-10],[10-20],[3-5],[6-8],[0-4]
303,female,latino/hispanic american,european/caucasian-american,speech language pathology,0.0,0,[7-37],[0-1],[2-5],[16-20],[16-20],[21-100],[21-100],[0-15],[0-15],[6-8],[0-5],[6-8],[6-8],[0-5],[0-5],[16-20],[0-15],[16-20],[16-20],[21-100],[0-15],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[6-8],[-1-0],[5-6],[4-9],[0-2],[0-5],[5-6]
