,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,guess_prob_liked,met,match
4332,male,27.0,25.0,"(1.0, 2.0]",european/caucasian-american,other,0,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(-0.001, 10.0]","(20.0, 47.0]","(17.31, 20.0]","(18.0, 20.0]","(-0.001, 5.0]","(10.0, 14.0]","(5.0, 6.0]","(-0.001, 6.0]","(8.0, 9.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.47, 0.91]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4333,male,27.0,25.0,"(1.0, 2.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(10.0, 15.0]","(15.0, 18.92]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(10.0, 14.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(5.0, 6.0]","(-0.001, 4.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(4.0, 5.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.31, 0.47]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4335,male,27.0,26.0,"(-0.001, 1.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(10.0, 15.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(11.066, 15.0]","(5.0, 10.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(4.0, 5.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.47, 0.91]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4336,male,27.0,29.0,"(1.0, 2.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(-0.001, 10.0]","(20.0, 47.0]","(17.31, 20.0]","(18.0, 20.0]","(-0.001, 5.0]","(5.0, 10.0]","(8.0, 10.0]","(7.0, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(5.0, 6.0]","(5.0, 6.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(-0.001, 5.0]","(4.0, 5.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.47, 0.91]","(4.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]",0.0,0
4337,male,27.0,26.0,"(-0.001, 1.0]",european/caucasian-american,black/african american,0,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(18.0, 20.0]","(18.92, 20.0]","(17.31, 20.0]","(-0.001, 15.0]","(15.0, 53.0]","(5.0, 10.0]","(4.0, 5.0]","(9.0, 10.0]","(8.0, 9.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(-0.001, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.13, 0.31]","(4.0, 5.0]","(-0.001, 1.0]","(3.0, 5.0]",0.0,1
4338,male,27.0,26.0,"(-0.001, 1.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(10.0, 15.0]","(-0.001, 15.0]","(20.0, 25.0]","(18.0, 20.0]","(-0.001, 5.0]","(17.09, 30.0]","(7.0, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.31, 0.47]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4339,male,27.0,32.0,"(4.0, 6.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(10.0, 15.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.13, 0.31]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4341,male,27.0,26.0,"(-0.001, 1.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(18.0, 20.0]","(20.0, 47.0]","(-0.001, 17.31]","(-0.001, 15.0]","(5.0, 10.0]","(14.0, 17.09]","(4.0, 5.0]","(-0.001, 6.0]","(-0.001, 6.0]","(5.0, 6.0]","(6.0, 7.0]","(-0.001, 4.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.831, -0.07]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4343,male,27.0,24.0,"(2.0, 4.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(18.0, 20.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(6.0, 7.0]","(8.0, 9.0]","(7.0, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(5.0, 6.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(-0.001, 5.0]","(4.0, 5.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.31, 0.47]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,1
4344,male,27.0,23.0,"(2.0, 4.0]",european/caucasian-american,asian/pacific islander/asian-american,0,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(15.0, 18.0]","(15.0, 18.92]","(17.31, 20.0]","(15.0, 18.0]","(11.066, 15.0]","(17.09, 30.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(5.0, 6.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.47, 0.91]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4345,male,27.0,23.0,"(2.0, 4.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(-0.001, 10.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(5.0, 10.0]","(5.0, 10.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(5.0, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(4.0, 5.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.07, 0.13]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4346,male,27.0,25.0,"(1.0, 2.0]",european/caucasian-american,european/caucasian-american,1,"(2.0, 4.0]","(3.0, 10.0]",sociology,"(20.056, 25.0]","(18.92, 20.0]","(20.0, 25.0]","(20.0, 50.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(-0.001, 6.0]","(7.0, 8.0]","(6.0, 7.0]","(8.0, 10.0]","(4.0, 5.0]","(15.0, 20.0]","(19.05, 20.0]","(-0.001, 17.02]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(1.999, 6.0]","(1.999, 8.0]","(6.0, 7.0]","(2.999, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(-0.001, 5.0]","(-0.001, 4.0]","(8.0, 9.0]","(3.0, 5.0]","(0.999, 3.0]","(7.0, 8.0]","(0.999, 5.0]","(4.0, 6.0]","(5.0, 7.0]","(3.0, 5.0]","(3.0, 5.0]","(8.0, 9.0]","(0.999, 3.0]","(5.0, 7.0]","(1.999, 7.0]","(0.999, 5.0]","(0.999, 7.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.831, -0.07]","(4.0, 5.0]","(-0.001, 1.0]","(-0.001, 3.0]",0.0,0
4347,male,28.0,28.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,latino/hispanic american,0,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(-0.001, 10.0]","(20.0, 47.0]","(20.0, 25.0]","(20.0, 50.0]","(15.0, 53.0]","(-0.001, 5.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(6.0, 7.0]","(5.0, 6.0]","(-0.001, 4.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.07, 0.13]","(6.0, 7.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
4348,male,28.0,33.0,"(4.0, 6.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(20.056, 25.0]","(20.0, 47.0]","(-0.001, 17.31]","(-0.001, 15.0]","(-0.001, 5.0]","(17.09, 30.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(7.0, 10.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(5.0, 6.0]","(-0.001, 4.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.07, 0.13]","(6.0, 7.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
4349,male,28.0,22.0,"(4.0, 6.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(20.056, 25.0]","(-0.001, 15.0]","(20.0, 25.0]","(20.0, 50.0]","(5.0, 10.0]","(5.0, 10.0]","(4.0, 5.0]","(6.0, 7.0]","(-0.001, 6.0]","(7.0, 8.0]","(-0.001, 5.0]","(-0.001, 4.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(4.0, 5.0]","(8.0, 9.0]","(7.0, 8.0]","(6.0, 7.0]","(5.0, 6.0]","(4.0, 5.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.13, 0.31]","(6.0, 7.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
4350,male,28.0,26.0,"(1.0, 2.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(15.0, 18.0]","(15.0, 18.92]","(-0.001, 17.31]","(15.0, 18.0]","(15.0, 53.0]","(14.0, 17.09]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(5.0, 6.0]","(4.0, 5.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.831, -0.07]","(6.0, 7.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
4351,male,28.0,24.0,"(2.0, 4.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(10.0, 15.0]","(20.0, 47.0]","(17.31, 20.0]","(18.0, 20.0]","(5.0, 10.0]","(5.0, 10.0]","(6.0, 7.0]","(6.0, 7.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 4.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(5.0, 6.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.831, -0.07]","(6.0, 7.0]","(1.0, 2.0]","(5.0, 6.0]",0.0,1
4352,male,28.0,24.0,"(2.0, 4.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(20.056, 25.0]","(-0.001, 15.0]","(25.0, 50.0]","(-0.001, 15.0]","(11.066, 15.0]","(5.0, 10.0]","(4.0, 5.0]","(6.0, 7.0]","(6.0, 7.0]","(8.0, 11.0]","(8.0, 10.0]","(-0.001, 4.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(6.0, 7.0]","(7.0, 8.0]","(-0.001, 6.0]","(5.0, 6.0]","(5.0, 6.0]","(4.0, 5.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.31, 0.47]","(6.0, 7.0]","(1.0, 2.0]","(3.0, 5.0]",0.0,0
4354,male,28.0,25.0,"(2.0, 4.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(10.0, 15.0]","(15.0, 18.92]","(17.31, 20.0]","(18.0, 20.0]","(15.0, 53.0]","(10.0, 14.0]","(6.0, 7.0]","(7.0, 8.0]","(6.0, 7.0]","(6.0, 7.0]","(6.0, 7.0]","(4.0, 5.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(-0.001, 4.0]","(-0.001, 6.0]","(6.0, 7.0]","(-0.001, 5.0]","(-0.001, 5.0]","(4.0, 5.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(-0.07, 0.13]","(6.0, 7.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
4356,male,28.0,26.0,"(1.0, 2.0]",asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(10.0, 15.0]","(18.92, 20.0]","(17.31, 20.0]","(18.0, 20.0]","(11.066, 15.0]","(5.0, 10.0]","(5.0, 6.0]","(6.0, 7.0]","(6.0, 7.0]","(8.0, 11.0]","(7.0, 8.0]","(5.0, 6.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(-0.001, 4.0]","(-0.001, 6.0]","(-0.001, 6.0]","(-0.001, 5.0]","(6.0, 7.0]","(-0.001, 4.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.13, 0.31]","(6.0, 7.0]","(1.0, 2.0]","(-0.001, 3.0]",0.0,0
4357,male,28.0,29.0,"(-0.001, 1.0]",asian/pacific islander/asian-american,european/caucasian-american,0,"(-0.001, 1.0]","(0.999, 3.0]",mba / master of international affairs [sipa],"(-0.001, 10.0]","(20.0, 47.0]","(17.31, 20.0]","(18.0, 20.0]","(-0.001, 5.0]","(5.0, 10.0]","(7.0, 8.0]","(7.0, 8.0]","(8.0, 9.0]","(7.0, 8.0]","(7.0, 8.0]","(7.0, 10.0]","(15.0, 20.0]","(20.0, 47.0]","(-0.001, 17.02]","(17.86, 20.0]","(-0.001, 5.0]","(17.0, 30.0]","(1.999, 6.0]","(8.0, 9.0]","(9.0, 10.0]","(2.999, 8.0]","(7.0, 8.0]","(5.0, 6.0]","(8.0, 9.0]","(8.0, 9.0]","(6.0, 7.0]","(5.0, 6.0]","(7.0, 10.0]","(9.0, 10.0]","(5.0, 7.0]","(0.999, 3.0]","(0.999, 7.0]","(0.999, 5.0]","(4.0, 6.0]","(8.0, 10.0]","(3.0, 5.0]","(0.999, 3.0]","(9.0, 13.0]","(5.0, 6.0]","(0.999, 5.0]","(1.999, 7.0]","(5.0, 7.0]","(7.0, 8.0]","(0.999, 3.0]","(-0.001, 2.0]","(0.47, 0.91]","(6.0, 7.0]","(1.0, 2.0]","(6.0, 7.0]",0.0,0
