,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
894,0,3,female,27,22,5,[4-6],asian/pacific islander/asian-american,european/caucasian-american,0,6,3,[6-10],[2-5],social work,21,20,19,20,10,10,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],6,7,8,4,7,6,[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],10,25,25,10,10,20,[0-15],[21-100],[21-100],[0-15],[0-15],[16-20],8,8,6,9,9,[6-8],[6-8],[6-8],[9-10],[9-10],6,6,7,6,6,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],0.07,[0-0.33],3,2,4,[0-4],[0-3],[3-5],6,4,[6-8],[0-4],0,1,0,0
896,0,3,female,27,25,2,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,6,3,[6-10],[2-5],social work,30,0,30,30,10,0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],8,7,7,9,6,8,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],10,25,25,10,10,20,[0-15],[21-100],[21-100],[0-15],[0-15],[16-20],8,8,6,9,9,[6-8],[6-8],[6-8],[9-10],[9-10],6,6,6,5,6,4,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],0.15,[0-0.33],3,2,4,[0-4],[0-3],[3-5],5,4,[0-5],[0-4],0,0,1,0
897,0,3,female,27,24,3,[2-3],asian/pacific islander/asian-american,other,0,6,3,[6-10],[2-5],social work,20,20,20,20,10,10,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],6,6,7,5,6,5,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],10,25,25,10,10,20,[0-15],[21-100],[21-100],[0-15],[0-15],[16-20],8,8,6,9,9,[6-8],[6-8],[6-8],[9-10],[9-10],8,6,8,5,8,5,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],[6-8],[0-5],-0.17,[-1-0],3,2,4,[0-4],[0-3],[3-5],6,5,[6-8],[5-6],0,1,1,1
898,0,3,female,23,29,6,[4-6],other,latino/hispanic american,0,6,3,[6-10],[2-5],social work,20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],8,8,8,8,6,8,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],6,7,8,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],0.48,[0.33-1],7,10,0,[7-10],[10-20],[0-2],6,6,[6-8],[5-6],0,0,1,0
899,0,3,female,23,22,1,[0-1],other,other,1,6,3,[6-10],[2-5],social work,20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],7,6,7,8,7,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],6,7,7,7,7,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],-0.43,[-1-0],7,10,0,[7-10],[10-20],[0-2],6,5,[6-8],[5-6],0,0,1,0
900,0,3,female,23,27,4,[4-6],other,black/african american,0,6,3,[6-10],[2-5],social work,21,17,22,20,8,13,[21-100],[16-20],[21-100],[16-20],[0-15],[0-15],6,7,6,7,5,3,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],7,7,7,7,7,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],0.65,[0.33-1],7,10,0,[7-10],[10-20],[0-2],6,5,[6-8],[5-6],0,0,0,0
901,0,3,female,23,28,5,[4-6],other,european/caucasian-american,0,6,3,[6-10],[2-5],social work,50,10,30,10,0,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5,6,5,8,6,2,[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],7,7,7,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],-0.2,[-1-0],7,10,0,[7-10],[10-20],[0-2],6,6,[6-8],[5-6],0,0,0,0
902,0,3,female,23,26,3,[2-3],other,european/caucasian-american,0,6,3,[6-10],[2-5],social work,25,10,20,20,15,10,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],7,7,7,7,7,8,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],7,7,8,7,7,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],0.02,[0-0.33],7,10,0,[7-10],[10-20],[0-2],6,5,[6-8],[5-6],0,0,0,0
903,0,3,female,23,21,2,[2-3],other,european/caucasian-american,0,6,3,[6-10],[2-5],social work,60,15,0,15,0,10,[21-100],[0-15],[0-15],[0-15],[0-15],[0-15],8,8,9,9,8,6,[6-8],[6-8],[9-10],[9-10],[6-8],[6-8],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],5,7,7,5,7,5,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],-0.37,[-1-0],7,10,0,[7-10],[10-20],[0-2],5,4,[0-5],[0-4],0,0,1,0
904,0,3,female,23,22,1,[0-1],other,european/caucasian-american,0,6,3,[6-10],[2-5],social work,21,20,19,20,10,10,[21-100],[16-20],[16-20],[16-20],[0-15],[0-15],5,7,7,7,6,7,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],7,7,7,7,6,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],0.45,[0.33-1],7,10,0,[7-10],[10-20],[0-2],6,5,[6-8],[5-6],0,0,0,0
905,0,3,female,23,22,1,[0-1],other,european/caucasian-american,0,6,3,[6-10],[2-5],social work,30,10,20,30,0,10,[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],6,8,7,7,6,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],7,7,7,8,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],-0.63,[-1-0],7,10,0,[7-10],[10-20],[0-2],6,6,[6-8],[5-6],0,0,0,0
906,0,3,female,23,25,2,[2-3],other,european/caucasian-american,0,6,3,[6-10],[2-5],social work,30,0,30,30,10,0,[21-100],[0-15],[21-100],[21-100],[0-15],[0-15],7,9,8,9,5,6,[6-8],[9-10],[6-8],[9-10],[0-5],[6-8],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],7,7,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],0.35,[0.33-1],7,10,0,[7-10],[10-20],[0-2],6,6,[6-8],[5-6],0,0,0,0
907,0,3,female,23,24,1,[0-1],other,other,1,6,3,[6-10],[2-5],social work,20,20,20,20,10,10,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],6,7,6,8,6,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,9,9,8,9,[6-8],[9-10],[9-10],[6-8],[9-10],5,8,7,6,8,5,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[9-10],[6-8],0.5,[0.33-1],7,10,0,[7-10],[10-20],[0-2],5,4,[0-5],[0-4],0,0,1,0
908,0,3,male,29,23,6,[4-6],latino/hispanic american,european/caucasian-american,0,1,1,[0-1],[0-1],business & international affairs,17,18,18,15,17,15,[16-20],[16-20],[16-20],[0-15],[16-20],[0-15],2,6,2,3,2,3,[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],6,7,7,8,8,[6-8],[6-8],[6-8],[6-8],[6-8],7,6,6,7,9,5,[6-8],[6-8],[6-8],[6-8],[9-10],[0-5],4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],0.26,[0-0.33],5,3,3,[5-6],[0-3],[3-5],6,6,[6-8],[5-6],0,1,0,0
909,0,3,male,29,22,7,[7-37],latino/hispanic american,european/caucasian-american,0,1,1,[0-1],[0-1],business & international affairs,10,20,20,20,15,15,[0-15],[16-20],[16-20],[16-20],[0-15],[0-15],8,7,7,7,7,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],6,7,7,8,8,[6-8],[6-8],[6-8],[6-8],[6-8],4,7,7,6,6,5,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],0.23,[0-0.33],5,3,3,[5-6],[0-3],[3-5],5,5,[0-5],[5-6],0,0,0,0
914,0,3,male,29,26,3,[2-3],latino/hispanic american,latino/hispanic american,1,1,1,[0-1],[0-1],business & international affairs,30,10,20,20,10,10,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],6,7,7,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],6,7,7,8,8,[6-8],[6-8],[6-8],[6-8],[6-8],9,8,8,8,7,5,[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],0.27,[0-0.33],5,3,3,[5-6],[0-3],[3-5],8,5,[6-8],[5-6],0,1,0,0
915,0,3,male,29,24,5,[4-6],latino/hispanic american,asian/pacific islander/asian-american,0,1,1,[0-1],[0-1],business & international affairs,5,15,45,25,0,10,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],2,7,7,5,4,2,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],6,7,7,8,8,[6-8],[6-8],[6-8],[6-8],[6-8],2,6,7,5,6,4,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],0.17,[0-0.33],5,3,3,[5-6],[0-3],[3-5],5,6,[0-5],[5-6],0,0,1,0
916,0,3,male,29,27,2,[2-3],latino/hispanic american,asian/pacific islander/asian-american,0,1,1,[0-1],[0-1],business & international affairs,10,25,25,10,10,20,[0-15],[21-100],[21-100],[0-15],[0-15],[16-20],7,7,8,6,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],6,7,7,8,8,[6-8],[6-8],[6-8],[6-8],[6-8],4,6,6,5,4,4,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],-0.07,[-1-0],5,3,3,[5-6],[0-3],[3-5],4,5,[0-5],[5-6],0,0,1,0
917,0,3,male,29,23,6,[4-6],latino/hispanic american,other,0,1,1,[0-1],[0-1],business & international affairs,17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],6,7,8,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,25,15,15,53,20,[16-20],[21-100],[0-15],[0-15],[21-100],[16-20],6,7,7,8,8,[6-8],[6-8],[6-8],[6-8],[6-8],8,8,8,8,6,8,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,[0-5],[0-5],[0-5],[6-8],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],0.48,[0.33-1],5,3,3,[5-6],[0-3],[3-5],8,7,[6-8],[7-10],0,1,0,0
918,0,3,male,22,23,1,[0-1],other,european/caucasian-american,0,1,1,[0-1],[0-1],law,17,18,18,15,17,15,[16-20],[16-20],[16-20],[0-15],[16-20],[0-15],3,9,9,7,9,7,[0-5],[9-10],[9-10],[6-8],[9-10],[6-8],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],8,8,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],-0.15,[-1-0],5,1,3,[5-6],[0-3],[3-5],7,5,[6-8],[5-6],0,1,0,0
919,0,3,male,22,22,0,[0-1],other,european/caucasian-american,0,1,1,[0-1],[0-1],law,10,20,20,20,15,15,[0-15],[16-20],[16-20],[16-20],[0-15],[0-15],8,8,8,7,8,1,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],5,10,7,5,4,1,[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],-0.01,[-1-0],5,1,3,[5-6],[0-3],[3-5],5,1,[0-5],[0-4],0,0,0,0
923,0,3,male,22,28,6,[4-6],other,european/caucasian-american,0,1,1,[0-1],[0-1],law,15,15,20,15,15,20,[0-15],[0-15],[16-20],[0-15],[0-15],[16-20],6,8,7,8,7,3,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],0,6,5,4,3,2,[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],-0.04,[-1-0],5,1,3,[5-6],[0-3],[3-5],1,5,[0-5],[5-6],0,0,0,0
924,0,3,male,22,26,4,[4-6],other,latino/hispanic american,0,1,1,[0-1],[0-1],law,30,10,20,20,10,10,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],8,9,9,9,8,8,[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],10,10,10,10,10,10,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],0.26,[0-0.33],5,1,3,[5-6],[0-3],[3-5],10,10,[9-10],[7-10],1,1,1,1
925,0,3,male,22,24,2,[2-3],other,asian/pacific islander/asian-american,0,1,1,[0-1],[0-1],law,5,15,45,25,0,10,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7,7,7,5,5,5,[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],5,5,5,5,5,5,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],0.03,[0-0.33],5,1,3,[5-6],[0-3],[3-5],5,5,[0-5],[5-6],1,1,1,1
926,0,3,male,22,27,5,[4-6],other,asian/pacific islander/asian-american,0,1,1,[0-1],[0-1],law,10,25,25,10,10,20,[0-15],[21-100],[21-100],[0-15],[0-15],[16-20],7,7,7,6,5,5,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],6,6,8,6,7,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],0.39,[0.33-1],5,1,3,[5-6],[0-3],[3-5],6,5,[6-8],[5-6],0,0,1,0
927,0,3,male,22,23,1,[0-1],other,other,1,1,1,[0-1],[0-1],law,17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],6,7,7,7,7,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20,15,20,20,5,10,[16-20],[0-15],[16-20],[16-20],[0-15],[0-15],5,7,6,7,7,[0-5],[6-8],[6-8],[6-8],[6-8],7,6,7,8,7,7,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,[9-10],[9-10],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],-0.43,[-1-0],5,1,3,[5-6],[0-3],[3-5],6,5,[6-8],[5-6],0,1,0,0
943,0,3,male,28,28,0,[0-1],european/caucasian-american,european/caucasian-american,1,2,2,[2-5],[2-5],mba,15,15,20,15,15,20,[0-15],[0-15],[16-20],[0-15],[0-15],[16-20],8,8,8,8,8,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],50,10,30,10,0,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5,9,5,8,8,[0-5],[9-10],[0-5],[6-8],[6-8],2,8,8,4,6,3,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],-0.18,[-1-0],3,0,1,[0-4],[0-3],[0-2],4,4,[0-5],[0-4],0,0,1,0
946,0,3,male,28,27,1,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,2,2,[2-5],[2-5],mba,10,25,25,10,10,20,[0-15],[21-100],[21-100],[0-15],[0-15],[16-20],7,7,8,6,4,4,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],50,10,30,10,0,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5,9,5,8,8,[0-5],[9-10],[0-5],[6-8],[6-8],4,6,8,4,9,1,[0-5],[6-8],[6-8],[0-5],[9-10],[0-5],10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],-0.18,[-1-0],3,0,1,[0-4],[0-3],[0-2],4,3,[0-5],[0-4],0,0,1,0
947,0,3,male,28,23,5,[4-6],european/caucasian-american,other,0,2,2,[2-5],[2-5],mba,17,17,17,17,17,15,[16-20],[16-20],[16-20],[16-20],[16-20],[0-15],7,7,7,7,8,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],50,10,30,10,0,0,[21-100],[0-15],[21-100],[0-15],[0-15],[0-15],5,9,5,8,8,[0-5],[9-10],[0-5],[6-8],[6-8],5,6,5,8,6,2,[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,[9-10],[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],[9-10],[6-8],[0-5],[0-5],[6-8],[6-8],[6-8],[0-5],[0-5],-0.2,[-1-0],3,0,1,[0-4],[0-3],[0-2],5,4,[0-5],[0-4],0,0,0,0
948,0,3,male,26,23,3,[2-3],european/caucasian-american,european/caucasian-american,1,5,1,[2-5],[0-1],mba,17,18,18,15,17,15,[16-20],[16-20],[16-20],[0-15],[16-20],[0-15],4,7,9,9,10,7,[0-5],[6-8],[9-10],[9-10],[9-10],[6-8],25,10,20,20,15,10,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],8,6,8,9,6,[6-8],[6-8],[6-8],[9-10],[6-8],8,6,7,7,7,5,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,[9-10],[0-5],[9-10],[0-5],[6-8],[0-5],[6-8],[0-5],[0-5],[6-8],[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],0.07,[0-0.33],3,2,0,[0-4],[0-3],[0-2],8,3,[6-8],[0-4],0,1,1,1
